date,title,jurisdiction,proceeding_docket,filing_type,file_path
2024-07-22,MD BGE Smart Charge Management Program Proposal Comments,Maryland,Case No. 9478,Comments,filings/2024-07-22_MD-BGE-Smart-Charge-Management-Program-Proposal-Comments.pdf
2024-08-12,CA V2G AC Interconnection Pilot Resolution Comments,California,"Advice Letter
5185-E",Comments,filings/2024-08-12_CA-V2G-AC-Interconnection-Pilot-Resolution-Comments.pdf
2024-08-19,TX El Paso Electric PowerConnect Decision Joint Comments,Texas,24-04312,Comments,filings/2024-08-19_TX-El-Paso-Electric-PowerConnect-Decision-Joint-Comments.pdf
2024-08-27,CA CARB Low Carbon Fuel Standard 15-Day Comments,California,,Comments,filings/2024-08-27_CA-CARB-Low-Carbon-Fuel-Standard-15-Day-Comments.pdf
2024-08-29,CA Energization Timelines Proposed Decision Comments,California,,Comments,filings/2024-08-29_CA-Energization-Timelines-Proposed-Decision-Comments.pdf
2024-09-06,IRS Section 30C Alternative Fuel Vehicle Refueling Tax Credit Coalition Letter,Federal,,Letter,filings/2024-09-06_IRS-Section-30C-Alternative-Fuel-Vehicle-Refueling-Tax.pdf
2024-09-26,CA Motion to Scope Power Control Systems and Flexible Connection Agreements in Energization Timelines OIR Response,California,R.18-12-006,Response,filings/2024-09-26_CA-Motion-to-Scope-Power-Control-Systems-and-Flexible.pdf
2024-10-03,CA Distribution Planning and Execution Process Proposed Decision Comments,California,,Comments,filings/2024-10-03_CA-Distribution-Planning-and-Execution-Process-Proposed.pdf
2024-10-08,CA Distribution Planning and Execution Process Proposed Decision Reply Comments,California,,Reply Comments,filings/2024-10-08_CA-Distribution-Planning-and-Execution-Process-Proposed.pdf
2024-10-14,CA PG&E V2X Microgrids Pilot Extension Request Response,California,Advice Letter 7378-E,Response,filings/2024-10-14_CA-PG-E-V2X-Microgrids-Pilot-Extension-Request-Response.pdf
2024-10-16,CA CARB Low Carbon Fuel Standard Second 15-Day Comments,California,,Comments,filings/2024-10-16_CA-CARB-Low-Carbon-Fuel-Standard-Second-15-Day-Comments.pdf
2024-10-23,MD V2G Interconnection Regulations Informal Comments,Maryland,,Informal Comments,filings/2024-10-23_MD-V2G-Interconnection-Regulations-Informal-Comments.pdf
2024-10-23,CA PG&E V2X Pilot Funding Resolution Comments,California,Advice Letter 6909-E,Comments,filings/2024-10-23_CA-PG-E-V2X-Pilot-Funding-Resolution-Comments.pdf
2024-10-30,CA Demand Side Grid Support 4th Edition Guidelines Comments,California,,Comments,filings/2024-10-30_CA-Demand-Side-Grid-Support-4th-Edition-Guidelines-Comments.pdf
2024-11-20,MD V2G Interconnection Regulations Formal Comments,Maryland,,Comments,filings/2024-11-20_MD-V2G-Interconnection-Regulations-Formal-Comments.pdf
